,Initial pH,Equlibrium pH,H2O2 (mM),FeO (g/L),Time (hr),Removal Experimental (%)
,2,8,15,8,0,0
,2,8,15,8,0.5,21
,2,8,15,8,1,33
,2,8,15,8,1.5,45
,2,8,15,8,2,59.7
,2,8,15,8,2.5,62
,2,8,15,8,3,64.9
,2,8,15,8,3.5,68.2
,3,8,15,8,0,0
,3,8,15,8,0.5,20
,3,8,15,8,1,35
,3,8,15,8,1.5,42
,3,8,15,8,2,54.5
,3,8,15,8,2.5,60
,3,8,15,8,3,65.7
,3,8,15,8,3.5,68.3
,4,8,15,8,0,0
,4,8,15,8,0.5,12.5
,4,8,15,8,1,18.3
,4,8,15,8,1.5,24.7
,4,8,15,8,2,30
,4,8,15,8,2.5,30.7
,4,8,15,8,3,31
,4,8,15,8,3.5,31.5
,5,8,15,8,0,0
,5,8,15,8,0.5,4.1
,5,8,15,8,1,6
,5,8,15,8,1.5,6.1
,5,8,15,8,2,6.15
,5,8,15,8,2.5,6.12
,5,8,15,8,3,6.17
,5,8,15,8,3.5,6.18
,2,3,15,8,3.5,35.2
,2,4,15,8,3.5,40.4
,2,5,15,8,3.5,50.2
,2,6,15,8,3.5,60.4
,2,7,15,8,3.5,65.1
,2,8,15,8,3.5,66.7
,2,9,15,8,3.5,65.3
,2,10,15,8,3.5,60
,2,11,15,8,3.5,50.4
,5,8,15,8,3.5,6.18
,4,8,15,8,3.5,31.5
,3,8,15,8,3.5,68.3
,2,8,15,8,3.5,68.2
,2,8,15,0,3.5,0
,2,8,15,2,3.5,54
,2,8,15,4,3.5,68
,2,8,15,6,3.5,71
,2,8,15,8,3.5,72
,2,8,15,10,3.5,72.5
,2,8,0,8,3.5,0
,2,8,4,8,3.5,26.6
,2,8,8,8,3.5,53.3
,2,8,12,8,3.5,68.5
,2,8,16,8,3.5,60.1
,2,8,20,8,3.5,54.4
